combined_fips,total_votes_2016,Clinton,FIPS,total_votes_2012,county_fips,state_fips,fips_x,population2014,population2010,population_change,population_2010,kids_percent_2014,teenagers_percent_2014,age65plus,female,Black,native,asian,hawaii,biracial,Hispanic,stable_house,foreign_born,NonEnglish,Edu_highschool,Edu_batchelors,veteran,commute,housing_units,homeownership,housing_units_multi,house_value,house_number,house_persons,Income,house_income,Poverty,private_establishments,private_employment,employment_change,nonemployer_establishments,firms_owned,firms_owned_black,firms_owned_native,firms_owned_asian,firms_owned_hawaii,firms_owned_hispanic,firms_owned_female,manufacturers_shipments,merchant_sales,retail_sales,retail_sales_per_capita,hotel_food_sales,building_permits,land_area,Density,Trump_Romney,fips_y,lat,lng
42003,643173,1.0,42003,614671,42003,42,42003,1231255,1223348,0.6,1223348,5.3,19.0,17.4,51.8,0.134,0.2,3.4,0.0,2.0,0.019,87.1,5.0,6.9,92.9,35.9,93347,26.0,589709,65.5,26.8,122400,526004,2.26,31593,51366,12.9,33583,696023,0.5,74402,95698,5.2,0.2,3.1,0.0,1.0,27.6,15725247,18141618,20075411,16456,2540334,2343,730.08,1675.6,-0.0215180089024077,42003,40.4450813,-80.0087746
42005,30446,0.0,42005,28322,42005,42,42005,67785,68940,-1.7,68941,5.0,19.7,20.1,50.4,0.009000000000000001,0.1,0.3,0.0,0.8,0.006999999999999999,90.8,0.6,1.7,88.9,14.6,6204,27.9,32384,76.5,10.0,94100,28525,2.37,23661,45241,13.0,1339,14471,0.0,3490,4908,0.0,0.0,0.0,0.0,0.0,25.5,370895,0,532139,7734,39542,45,653.2,105.5,0.0657812800340681,42005,40.8790518,-79.4703885
42007,79036,0.0,42007,80015,42007,42,42007,169392,170539,-0.7,170539,5.1,19.7,19.7,51.6,0.064,0.1,0.5,0.0,1.8,0.013999999999999999,89.7,1.8,3.5,91.0,21.9,15600,25.1,78381,73.4,17.0,115400,70867,2.35,26258,49217,12.2,3430,49161,-1.1,8495,11685,3.0,0.0,0.0,0.0,0.0,26.5,4708830,1180098,1555258,8989,156309,141,434.71,392.3,0.0566618047731365,42007,40.6367812,-80.365865
42009,23504,0.0,42009,21444,42009,42,42009,48946,49768,-1.7,49762,5.0,20.7,20.5,50.1,0.006999999999999999,0.2,0.3,0.0,1.0,0.011000000000000001,91.9,0.7,3.0,85.2,12.6,4355,28.0,24013,79.8,7.6,120200,20198,2.42,22259,43290,12.6,1043,13299,1.1,3245,4459,0.0,0.0,0.0,0.0,0.0,0.0,728654,295488,581577,11712,70289,66,1012.3,49.2,0.0578657532675861,42009,37.2538794,-79.4703885
42011,175934,0.0,42011,163253,42011,42,42011,413691,411587,0.5,411442,5.9,22.9,15.9,50.8,0.067,0.8,1.6,0.1,2.1,0.187,86.4,6.8,16.7,84.3,22.3,29566,24.5,164822,72.0,18.3,170600,153897,2.59,26723,55170,13.9,8246,148933,0.3,23771,30325,3.4,0.0,1.7,0.0,5.5,27.3,8461848,4417612,4953210,12307,445993,458,856.51,480.4,0.0338551527051898,42011,40.345156599999996,-75.9927652
42013,52029,0.0,42013,47631,42013,42,42013,125955,127078,-0.9,127089,5.5,20.6,19.3,51.2,0.019,0.1,0.7,0.0,1.3,0.012,88.9,1.2,3.0,90.9,18.4,12862,19.0,56064,72.4,18.0,106500,51433,2.4,23875,42992,14.1,3212,52021,2.8,6055,8728,0.0,0.0,0.0,0.0,0.0,27.3,1931222,1511209,2038719,16182,178855,100,525.8,241.7,0.0541131493068411,42013,40.453131799999994,-78.38422270000001
42015,25399,0.0,42015,22501,42015,42,42015,61784,62622,-1.3,62622,6.0,22.1,19.6,50.5,0.006,0.3,0.6,0.0,1.0,0.015,90.9,1.5,3.1,87.3,17.1,5825,22.5,30129,74.9,12.1,119900,24213,2.55,23667,46963,13.3,1394,19556,-5.3,3580,5145,0.0,0.0,0.0,0.0,0.0,22.8,1772445,0,727813,11864,48780,77,1147.4,54.6,0.0924903164839413,42015,41.83625019999999,-76.5488232
42017,342572,0.0,42017,319407,42017,42,42017,626685,625255,0.2,625249,4.9,21.4,16.7,51.0,0.040999999999999995,0.3,4.6,0.1,1.6,0.049,92.8,8.2,10.9,93.3,35.8,40571,28.3,246842,78.0,19.3,309900,230366,2.68,37466,76555,5.4,18930,245793,-1.6,49858,65114,1.5,0.0,3.5,0.0,2.0,24.9,9316305,9859583,13089805,21067,970247,778,604.31,1034.7,-0.00965610287683599,42017,40.410796399999995,-75.2479061
42019,92027,0.0,42019,88924,42019,42,42019,185943,183862,1.1,183862,5.0,20.8,17.0,50.6,0.013000000000000001,0.1,1.2,0.0,1.0,0.013000000000000001,88.3,1.8,3.0,92.7,30.5,15172,26.4,80358,76.8,14.0,169700,73213,2.45,30957,58230,9.3,4766,79977,0.6,11475,15493,0.0,0.0,0.0,0.0,0.6,27.3,5361964,2580221,2527258,13849,269549,624,788.6,233.1,-0.00110097394096398,42019,39.440463,-84.5222189
42021,60167,0.0,42021,57718,42021,42,42021,137732,143674,-4.1,143679,4.9,19.3,20.4,50.8,0.035,0.1,0.6,0.0,1.4,0.015,89.3,1.2,3.2,88.8,18.3,13695,22.7,65240,73.9,15.6,87100,58208,2.31,22659,41730,14.9,3337,48133,-2.4,6190,9667,1.0,0.0,1.5,0.0,0.0,24.0,1439815,582513,1626462,11212,155969,61,688.35,208.7,0.0935081994223462,42021,40.4894231,-78.74762079999998
